variable,mean_ann_pcpt_mm,wshd_max_elevation_m,wshd_min_elevation_m,forest_3scp,shrub_3scp,human_3scp,hrel_3,simpson_d3,accm_totco2_o2g_day,basin
mean_ann_pcpt_mm,1.972812539,0.28433855,0.44445437,0.243109331,0.038980957,0.430161509,0.081786545,0.052899897,0.130719212,WRB
wshd_max_elevation_m,0.28433855,1.68294427,0.387708962,0.452092755,0.140172233,0.492592638,0.17842727,0.13972014,0.351470133,WRB
wshd_min_elevation_m,0.44445437,0.387708962,1.415659597,0.227965636,0.044827568,0.531454923,0.134525578,0.082124447,0.09201605,WRB
forest_3scp,0.243109331,0.452092755,0.227965636,1.003452288,0.139501838,0.438939759,0.182452545,0.179148223,0.197209366,WRB
shrub_3scp,0.038980957,0.140172233,0.044827568,0.139501838,1.540710242,0.17010791,0.41068999,0.506768822,0.126742802,WRB
human_3scp,0.430161509,0.492592638,0.531454923,0.438939759,0.17010791,1.892812878,0.269677421,0.181440737,0.207921458,WRB
hrel_3,0.081786545,0.17842727,0.134525578,0.182452545,0.41068999,0.269677421,1.354965927,0.869114411,0.077512845,WRB
simpson_d3,0.052899897,0.13972014,0.082124447,0.179148223,0.506768822,0.181440737,0.869114411,1.235200028,0.077116653,WRB
accm_totco2_o2g_day,0.130719212,0.351470133,0.09201605,0.197209366,0.126742802,0.207921458,0.077512845,0.077116653,1.709608956,WRB
mean_ann_pcpt_mm,2.093802732,0.370717431,0.746377904,0.461131381,0.201764472,0.292626507,0.136010509,0.08087904,0.350631828,YRB
wshd_max_elevation_m,0.370717431,1.788327249,0.370072596,0.542340826,0.156943603,0.205541895,0.16908795,0.096062986,0.631008645,YRB
wshd_min_elevation_m,0.746377904,0.370072596,2.018636774,0.336344401,0.128958916,0.218311202,0.083414309,0.042262109,0.293759402,YRB
forest_3scp,0.461131381,0.542340826,0.336344401,1.384323869,0.275523595,0.209297657,0.291029856,0.134991743,0.494184814,YRB
shrub_3scp,0.201764472,0.156943603,0.128958916,0.275523595,1.135339379,0.10805283,0.321760574,0.0965248,0.121855444,YRB
human_3scp,0.292626507,0.205541895,0.218311202,0.209297657,0.10805283,2.021980928,0.26649692,0.158127,0.214346483,YRB
hrel_3,0.136010509,0.16908795,0.083414309,0.291029856,0.321760574,0.26649692,1.383679705,0.378917934,0.206628658,YRB
simpson_d3,0.08087904,0.096062986,0.042262109,0.134991743,0.0965248,0.158127,0.378917934,0.403266923,0.107836033,YRB
accm_totco2_o2g_day,0.350631828,0.631008645,0.293759402,0.494184814,0.121855444,0.214346483,0.206628658,0.107836033,2.054598668,YRB
