"comid","logQ_m3_div_s","logRT_lateral_hz_s_fill","junk","doc","logq_hz_lateral_m_div_s_fill","logw_m","LengthKM","no3","do"
23099408,2.01103697706432,7.84416922407431,4.18756657878452,2.81619559,-8.9096565246582,1.58718093778837,0.232,0.427775176082012,10.85997453
23099410,2.01103697706432,5.61407852172852,4.18756495457882,2.364828576,-7.7204966545105,1.58718017868243,1.624,0.427775189803742,10.859974
23099412,2.01080384337057,7.93576599335956,4.18270251536854,2.80671837,-7.45320701599121,1.5849076169363,1.315,0.424409401288554,10.86330549
23099414,2.01080288371392,4.6256287325843,4.18268331827408,2.80671837,-8.04544639587402,1.58489864477616,0.316,0.42440984562312,10.86329948
23099416,2.01080264379943,8.49880660693537,4.18267795422837,2.80671837,-8.03140544891357,1.58489613777806,0.021,0.424409113714358,10.86329778
23099418,2.01080264379943,1.34757860419654,4.18267790289747,2.27870177,-8.33181953430176,1.58489611378737,0.171,0.424409114047006,10.86329778
23099420,2.01080240388523,8.49880660693537,4.18267364241153,2.325392027,-9.04575749056067,1.58489412256132,3.264,0.424408403427716,10.86329643
23099422,2.01079448662909,2.07532627278469,4.18250593599199,2.282670914,-8.90010356903076,1.58481574149005,0.427,0.42436517806549,10.86324368
23099424,2.01079400679069,7.29798976040146,4.1824956142714,2.256262074,-9.16346740722656,1.58481091742002,0.686,0.424363728718154,10.86324045
23099426,2.01078752892131,6.43025171419591,4.18235324193493,2.242631455,-7.30016227413275,1.58474437675794,0.267,0.424341161378862,10.86319567
23099428,2.0107786516838,6.40786806101117,4.18215326661978,2.319088667,-6.43794517034362,1.58465091414973,0.446,0.42429019047428,10.86313273
23099430,2.01077805186407,7.45298742787637,4.18213967297168,2.35605652,-7.66554624884907,1.58464456087671,0.217,0.424287857530694,10.86312851
23099432,2.01077733207904,7.04723315806696,4.18212420293391,2.278105705,-6.8523236757589,1.58463733063338,2.19,0.424284905695504,11.47748392
23099434,2.01075609788671,6.90933639620103,4.1816695181229,2.21594555,-7.95467702121334,1.58442482426301,0.385,0.424037247097292,10.86298061
23099436,2.0107556180059,7.55502949507714,4.1816592022298,2.269851452,-6.77314242971128,1.58442000291704,3.238,0.42403626736577,10.86297737
23099438,2.01073558251112,8.28882500128723,4.18123349016108,2.277690731,-7.32148162095989,1.58422103755772,2.694,0.42249364137247,10.86284343
23099440,2.01072526447068,8.49880660693537,4.18101401082847,2.282986328,-8.53760200210104,1.58411845934263,0.406,0.42231709509943,10.86763531
23099442,2.01072478455579,5.41441774368286,4.18100501910934,2.27022572,-7.0713267326355,1.58411425687633,0.094,0.422306107902314,10.86763252
23099444,2.01072478455579,6.66192836701384,4.18100385970507,2.297433264,-6.19443118245144,1.58411371500507,0.424,0.422305311210354,10.86763216
23099446,2.01072454459815,7.76103905950128,4.18099927358674,2.25221065,-7.80410034759077,1.58411157158694,1.149,0.422304503707334,10.86763072
23099448,2.01070846713634,8.20548427449241,4.18065770356436,2.803853898,-8.79588001734407,1.58395193175757,0.192,0.42209043873167,10.86752325
23099450,2.01070834715281,8.46793684341174,4.18065589860237,2.250488661,-7.50584540598156,1.58395108817123,1.327,0.422089036454026,10.86752271
23099452,2.01070582749582,7.9622561816018,4.18060362880633,2.269008207,-8.48148606012211,1.58392665879862,0.833,0.422053949824092,10.86750622
23099454,2.01070402773194,8.17304545576505,4.1805647640565,2.251946235,-8.02227639471115,1.58390849455308,0.78,0.422012596854296,10.86749405
23099456,2.0107022279606,7.46988830734451,4.1805256121059,2.285532807,-6.98380264648756,1.58389019607715,1.946,0.421986969486052,10.86748171
23099458,2.01069646864236,7.00380474495603,4.18040385226113,2.281281499,-7.97061622231479,1.58383328909019,0.294,0.421867464527784,10.86744339
23099460,2.01066983080145,6.57138189060966,4.17983192414294,2.201978157,-6.416234631715,1.58356598663011,4.178,0.420773279141072,10.86726357
23099462,2.01062195057404,5.14068201581761,4.17881394986203,2.208258641,-6.92335955632966,1.58309021525083,0.836,0.420677752365426,10.86694331
23099464,2.01062051048525,4.11988368385827,4.17878365186759,2.209071915,-9.85688400268555,1.58307605485508,1.456,0.420676948438372,10.86693381
23099466,-0.664804912333046,4.86431407928467,2.94002633223206,1.652128669,-7.18244123458862,1.00411714645161,0.061,1.0672388671475,10.01572018
23099468,-0.664804912333046,8.08794407665995,2.94002319099944,1.048506653,-8.43179827593301,1.00411567832946,1.438,1.06724576626702,10.01571861
23099470,-0.672257349920136,8.32615088969695,2.93267959988754,1.052516942,-8.35654732351381,1.00068349882021,1.518,1.07899517920533,10.00368766
23099472,-0.679839906660852,8.29247957446355,2.92554526875387,1.067152,-8.21467016498923,0.997349121293412,1.413,1.09536111144177,10.02088633
23099474,-0.683028920415571,8.49880660693537,2.92249470694529,1.072180648,-8.79588001734407,0.995923378006343,1.147,1.10762456591661,10.01992794
23099484,-0.810603416152893,8.49880660693537,2.79823479414269,1.139731268,-9.69897000433602,0.937847932289199,0.922,1.31538079383884,10.11694963
23099486,-0.844577743594856,8.49087715887688,2.76266551219456,1.202159022,-8.65757731917779,0.921223891144893,2.018,1.35285017316381,10.14950917
23099488,-1.2406730652298,7.90594843638242,2.37294310175808,1.243082129,-8.05551732784983,0.739079045056918,1.848,1.45906000502779,9.998398919
23099492,-1.3715744201075,7.73491892382513,2.18045047070918,1.211885217,-8.35654732351381,0.649113624235626,3.638,1.64252881559118,10.37892713
23099494,-1.38989431854978,7.2452717167075,2.16087952072286,1.133042615,-8.06048074738138,0.639966735124175,1.71,1.73978531318535,10.43110822
23099496,-1.40839084526946,6.23574630313126,2.14199723502691,1.060434273,-7.47108329972234,0.631141707542261,0.124,1.74640573871403,10.43974446
23099498,-1.45734440418564,6.83172794809129,2.09211227666221,0.879394518,-7.78781239559604,0.607826938309008,1.091,1.65794138988648,10.42406241
23099500,-1.46624784236432,6.82726562131848,2.0828517656369,0.836073967,-7.86327943284359,0.603498846551011,0.98,1.68205479275622,10.44545234
