comid,logQ_m3_div_s,logRT_vertical_hz_s_fill,junk,doc,logq_hz_vertical_m_div_s_fill,logw_m,LengthKM,no3,do
23099408,2.011036977,6.50992775,4.187566579,2.81619559,-6.288192771,1.587180938,0.232,0.427775176,10.85997453
23099410,2.011036977,4.012139733,4.187564955,2.364828576,-6.371815492,1.587180179,1.624,0.42777519,10.859974
23099412,2.010803843,6.508524307,4.182702515,2.80671837,-6.292089334,1.584907617,1.315,0.424409401,10.86330549
23099414,2.010802884,6.507781432,4.182683318,2.80671837,-6.292941059,1.584898645,0.316,0.424409846,10.86329948
23099416,2.010802644,6.510179387,4.182677954,2.80671837,-6.286341484,1.584896138,0.021,0.424409114,10.86329778
23099418,2.010802644,6.506215157,4.182677903,2.27870177,-6.296450702,1.584896114,0.171,0.424409114,10.86329778
23099420,2.010802404,6.074935669,4.182673642,2.325392027,-5.790699505,1.584894123,3.264,0.424408403,10.86329643
23099422,2.010794487,6.507544213,4.182505936,2.282670914,-6.297224922,1.584815741,0.427,0.424365178,10.86324368
23099424,2.010794007,6.035285996,4.182495614,2.256262074,-5.771060958,1.584810917,0.686,0.424363729,10.86324045
23099426,2.010787529,4.922837418,4.182353242,2.242631455,-4.408924257,1.584744377,0.267,0.424341161,10.86319567
23099428,2.010778652,4.814584072,4.182153267,2.319088667,-4.297610827,1.584650914,0.446,0.42429019,10.86313273
23099430,2.010778052,5.600635731,4.182139673,2.35605652,-5.160013165,1.584644561,0.217,0.424287858,10.86312851
23099432,2.010777332,5.20265292,4.182124203,2.278105705,-4.75586643,1.584637331,2.19,0.424284906,11.47748392
23099434,2.010756098,5.232589802,4.181669518,2.21594555,-4.786312277,1.584424824,0.385,0.424037247,10.86298061
23099436,2.010755618,5.596747226,4.181659202,2.269851452,-5.155578746,1.584420003,3.238,0.424036267,10.86297737
23099438,2.010735583,6.248670829,4.18123349,2.277690731,-5.816388551,1.584221038,2.694,0.422493641,10.86284343
23099440,2.010725264,6.65609661,4.181014011,2.282986328,-6.205651396,1.584118459,0.406,0.422317095,10.86763531
23099442,2.010724785,4.271273286,4.181005019,2.27022572,-3.755206982,1.584114257,0.094,0.422306108,10.86763252
23099444,2.010724785,4.995181205,4.18100386,2.297433264,-4.478033362,1.584113715,0.424,0.422305311,10.86763216
23099446,2.010724545,5.911879709,4.180999274,2.25221065,-5.492629947,1.584111572,1.149,0.422304504,10.86763072
23099448,2.010708467,6.312626186,4.180657704,2.803853898,-5.865982354,1.583951932,0.192,0.422090439,10.86752325
23099450,2.010708347,6.404614535,4.180655899,2.250488661,-5.962254871,1.583951088,1.327,0.422089036,10.86752271
23099452,2.010705827,6.095528923,4.180603629,2.269008207,-5.65809088,1.583926659,0.833,0.42205395,10.86750622
23099454,2.010704028,6.208772723,4.180564764,2.251946235,-5.769704386,1.583908495,0.78,0.422012597,10.86749405
