site_no,numbers_ann,mean_ann,sd_ann,min_ann,max_ann
12343400,32,3.41625,1.340704557,1.19,6.19
12344000,39,2.692307692,1.123245911,0.97,4.95
12351200,22,2.666363636,0.802683271,1.38,4.05
12352500,51,2.732745098,0.995106182,1.3,5.24
14161500,323,0.815440252,0.323471355,0.23,2
14200400,65,1.030634921,0.418915162,0.58,2.4
14201300,307,3.729835526,1.118601926,1.48,7.58
14202000,36,2.594444444,1.048793714,1.4,5.5
14202300,34,1.418181818,0.530597862,0.2,2.3
14202980,32,1.6375,0.381634853,0.8,2.2
14203500,40,2.123333333,0.751813013,0.9,5
14203750,23,0.781818182,0.499176812,0.4,2.6
14204530,41,2.0275,0.795173743,0.5,3.7
14204800,35,2.061764706,0.505134069,1,3.6
14206200,34,3.775757576,1.219895053,1.5,5.8
14206500,37,4.027027027,1.185244618,1.9,7.4
14206740,47,3.857446809,1.151887804,2,7
14206750,34,4.267058824,2.007426408,1.4,9
14206950,340,4.346716418,1.578903193,1.45,9.9
14207500,29,3.534482759,1.14961977,1.9,6.3
14207600,35,4.285714286,1.07241971,2.2,6.2
13013650,75,1.732222222,0.73699279,0.97,5
13010065,60,1.783220339,0.738300566,0.9,3.9
13027500,33,1.234375,0.563748614,0.6,2.5
13055000,45,2.504651163,1.450443855,0.7,7.4
13056500,174,1.798092486,0.654041419,0.86,3.68
13069500,35,1.838235294,0.591359351,1,3.9
13073000,37,2.12972973,0.819845807,1,4
13081500,36,1.873611111,0.354603624,1.2,2.5
13092747,258,2.732196078,0.975452187,1.28,11
13094000,44,2.057209302,0.403138435,1.38,3.4
13120500,34,1.021212121,0.59253564,0.4,2.5
13152500,34,2.772121212,0.76239654,0.9,4.3
13154500,165,1.4025625,0.384179673,0.81,3.2
13317000,21,2.1965,0.76513002,1.14,3.9
12400520,63,1.440163934,0.4706821,0.9,3.78
12447390,110,1.456915888,0.634603444,0.53,3.79
12464770,98,2.775894737,1.268017799,1.29,7
12471400,61,2.448644068,0.799453386,1.8,8.1
12472380,38,2.831944444,0.559993977,2.1,5.3
12472600,27,4.011538462,0.542827356,3.6,5.8
12472900,120,1.715714286,0.564594607,0.99,3.6
12473508,27,3.318518519,0.361659675,2.6,4.1
12473740,32,3.525806452,0.783993088,2.3,5.8
12479500,48,1.519565217,0.5615928,0.8,3
12484500,47,2.152173913,0.795470268,0.4,4.5
12499000,41,1.6875,0.652485386,0.6,3.3
12500420,33,2.653125,0.865087866,2,6.6
12500450,52,2.296,0.892819428,0.8,5.8
12505450,342,2.948902077,1.143994534,1.6,9.89
12508850,64,3.163492063,1.862213527,1.5,15
12509050,41,2.395,1.204681041,1,6.4
12510500,288,2.185157895,0.96259647,1.1,7.5
12513650,23,3.17826087,0.468029255,2.1,3.9
13346000,22,5.781818182,2.321665323,2.9,9.9
13349200,45,6.013636364,1.158304878,4.3,8.7
13349320,46,3.535555556,2.290013453,1.8,15
13349410,29,3.935714286,1.455058682,2.2,8.6
13351000,128,5.107637795,4.48564597,1.3,40
13353200,76,2.435135135,0.667941518,1.6,5
14242690,26,4.057692308,2.051764719,1.9,10
14243000,25,2.612,1.145396583,1.3,5.4
14244200,28,2.581481481,1.784772564,0.4,10
14205400,117,1.044298246,0.416929292,0.42,2.62
14206435,58,4.490877193,0.736573342,3.2,6.2
